"subj","mod","co","standard","stim","block","mod2","stim_letter","standard_letter","ord.st","trial","stim1","stim2","stim1_let","stim2_let","incongruency","visual_real_standard","blur","resp"
1,"visual","external",30,40,3,"uni","18--27","12--22",2,152,"40","30","18--27","12--22",0,30,0.5,NA
1,"visual","external",30,35,3,"uni","1--10","12--22",1,153,"30","35","12--22","1--10",0,30,0.5,NA
1,"multi_V","external",30,20,3,"multi","7--19","17--26",1,154,"30","20","17--26","7--19",5,35,0.5,NA
1,"multi_cong","external",30,35,3,"multi","2--6","12--22",2,155,"35","30","2--6","12--22",0,30,0.5,NA
1,"proprio","internal",30,35,3,"multi","18--27","5--13",1,156,"30","35","5--13","18--27",0,30,1,NA
1,"multi_P","internal",30,35,3,"multi","2--6","17--26",2,157,"35","30","2--6","17--26",-5,25,0.5,NA
1,"multi_cong","internal",30,37.5,3,"multi","16--23","12--22",1,158,"30","37.5","12--22","16--23",0,30,0.5,NA
1,"visual","internal",30,22.5,3,"uni","16--23","17--26",1,159,"30","22.5","17--26","16--23",0,30,0.5,NA
1,"proprio","internal",30,40,3,"multi","7--19","4--11",2,160,"40","30","7--19","4--11",0,30,1,NA
1,"multi_cong","external",30,20,3,"multi","3--8","9--21",1,161,"30","20","9--21","3--8",0,30,0.5,NA
1,"multi_V","external",30,22.5,3,"multi","20--28","17--26",1,162,"30","22.5","17--26","20--28",5,35,0.5,NA
1,"multi_P","external",30,20,3,"multi","18--27","9--21",1,163,"30","20","9--21","18--27",-5,25,0.5,NA
1,"proprio","external",30,37.5,3,"multi","3--8","9--21",2,164,"37.5","30","3--8","9--21",0,30,1,NA
1,"multi_P","external",30,35,3,"multi","3--8","5--13",1,165,"30","35","5--13","3--8",-5,25,0.5,NA
1,"multi_P","internal",30,30,3,"multi","18--27","5--13",1,166,"30","30","5--13","18--27",-5,25,0.5,NA
1,"multi_V","internal",30,35,3,"multi","20--28","9--21",1,167,"30","35","9--21","20--28",5,35,0.5,NA
1,"multi_cong","internal",30,22.5,3,"multi","7--19","14--24",2,168,"22.5","30","7--19","14--24",0,30,0.5,NA
1,"multi_cong","internal",30,35,3,"multi","1--10","4--11",1,169,"30","35","4--11","1--10",0,30,0.5,NA
1,"visual","internal",30,35,3,"uni","7--19","4--11",1,170,"30","35","4--11","7--19",0,30,0.5,NA
1,"multi_V","external",30,35,3,"multi","16--23","15--25",1,171,"30","35","15--25","16--23",5,35,0.5,NA
1,"multi_P","external",30,22.5,3,"multi","2--6","9--21",2,172,"22.5","30","2--6","9--21",-5,25,0.5,NA
1,"multi_P","external",30,40,3,"multi","16--23","14--24",2,173,"40","30","16--23","14--24",-5,25,0.5,NA
1,"proprio","external",30,25,3,"multi","2--6","5--13",2,174,"25","30","2--6","5--13",0,30,1,NA
1,"visual","external",30,30,3,"uni","3--8","5--13",1,175,"30","30","5--13","3--8",0,30,0.5,NA
1,"multi_cong","internal",30,25,3,"multi","20--28","9--21",1,176,"30","25","9--21","20--28",0,30,0.5,NA
1,"visual","internal",30,37.5,3,"uni","20--28","17--26",1,177,"30","37.5","17--26","20--28",0,30,0.5,NA
1,"multi_P","internal",30,37.5,3,"multi","7--19","4--11",2,178,"37.5","30","7--19","4--11",-5,25,0.5,NA
1,"multi_P","internal",30,20,3,"multi","3--8","15--25",2,179,"20","30","3--8","15--25",-5,25,0.5,NA
1,"proprio","internal",30,30,3,"multi","16--23","9--21",2,180,"30","30","16--23","9--21",0,30,1,NA
1,"proprio","external",30,40,3,"multi","1--10","15--25",2,181,"40","30","1--10","15--25",0,30,1,NA
1,"multi_P","external",30,37.5,3,"multi","1--10","17--26",2,182,"37.5","30","1--10","17--26",-5,25,0.5,NA
1,"multi_cong","external",30,40,3,"multi","20--28","5--13",1,183,"30","40","5--13","20--28",0,30,0.5,NA
1,"multi_cong","external",30,25,3,"multi","16--23","9--21",2,184,"25","30","16--23","9--21",0,30,0.5,NA
1,"multi_V","external",30,30,3,"multi","1--10","4--11",1,185,"30","30","4--11","1--10",5,35,0.5,NA
1,"proprio","internal",30,37.5,3,"multi","2--6","17--26",2,186,"37.5","30","2--6","17--26",0,30,1,NA
1,"proprio","internal",30,22.5,3,"multi","3--8","14--24",2,187,"22.5","30","3--8","14--24",0,30,1,NA
1,"multi_V","internal",30,25,3,"multi","2--6","5--13",1,188,"30","25","5--13","2--6",5,35,0.5,NA
1,"proprio","internal",30,20,3,"multi","20--28","15--25",1,189,"30","20","15--25","20--28",0,30,1,NA
1,"multi_V","internal",30,30,3,"multi","7--19","12--22",1,190,"30","30","12--22","7--19",5,35,0.5,NA
1,"proprio","external",30,20,3,"multi","16--23","15--25",1,191,"30","20","15--25","16--23",0,30,1,NA
1,"multi_V","external",30,37.5,3,"multi","18--27","14--24",2,192,"37.5","30","18--27","14--24",5,35,0.5,NA
1,"proprio","external",30,22.5,3,"multi","18--27","14--24",2,193,"22.5","30","18--27","14--24",0,30,1,NA
1,"multi_cong","external",30,30,3,"multi","18--27","12--22",1,194,"30","30","12--22","18--27",0,30,0.5,NA
1,"visual","external",30,22.5,3,"uni","7--19","4--11",1,195,"30","22.5","4--11","7--19",0,30,0.5,NA
