subj,mod,co,standard,stim,block,mod2,stim_letter,standard_letter,ord.st,trial,stim1,stim2,stim1_let,stim2_let,incongruency,visual_real_standard,blur,arm,ownership_question,ang_resp,ownership_resp,agency_resp
2,proprio,external,30,37.5,3,uni,3--8,14--24,1,52,12--22,3--8,30,37.5,0,30,1,0,0,NA,NA,NA
2,proprio,external,30,40,3,uni,1--10,5--13,1,53,14--24,1--10,30,40,0,30,1,0,0,NA,NA,NA
2,proprio,external,30,22.5,3,uni,18--27,9--21,2,55,18--27,17--26,22.5,30,0,30,1,0,0,NA,NA,NA
2,proprio,external,30,35,3,uni,20--28,4--11,2,61,20--28,5--13,35,30,0,30,1,0,0,NA,NA,NA
2,proprio,external,30,30,4,uni,7--19,14--24,2,65,7--19,17--26,30,30,0,30,1,0,0,NA,NA,NA
2,proprio,external,30,20,4,uni,16--23,5--13,1,68,9--21,16--23,30,20,0,30,1,0,0,NA,NA,NA
2,proprio,external,30,37.5,4,uni,3--8,17--26,1,71,15--25,3--8,30,37.5,0,30,1,0,0,NA,NA,NA
2,proprio,external,30,25,4,uni,2--6,15--25,2,74,2--6,5--13,25,30,0,30,1,0,0,NA,NA,NA
2,proprio,external,30,35,4,uni,20--28,9--21,1,76,17--26,20--28,30,35,0,30,1,0,0,NA,NA,NA
2,proprio,external,30,22.5,4,uni,18--27,14--24,2,80,18--27,5--13,22.5,30,0,30,1,0,0,NA,NA,NA
2,proprio,external,30,40,4,uni,1--10,17--26,1,82,9--21,1--10,30,40,0,30,1,0,0,NA,NA,NA
2,proprio,external,30,40,5,uni,1--10,15--25,1,89,5--13,1--10,30,40,0,30,1,0,0,NA,NA,NA
2,proprio,external,30,20,5,uni,16--23,17--26,2,91,16--23,9--21,20,30,0,30,1,0,0,NA,NA,NA
2,proprio,external,30,22.5,5,uni,18--27,9--21,2,95,18--27,17--26,22.5,30,0,30,1,0,0,NA,NA,NA
2,proprio,external,30,30,5,uni,7--19,4--11,2,98,7--19,9--21,30,30,0,30,1,0,0,NA,NA,NA
2,proprio,external,30,37.5,5,uni,3--8,4--11,2,101,3--8,14--24,37.5,30,0,30,1,0,0,NA,NA,NA
2,proprio,external,30,35,5,uni,20--28,9--21,2,103,20--28,4--11,35,30,0,30,1,0,0,NA,NA,NA
2,proprio,external,30,25,5,uni,2--6,5--13,2,104,2--6,17--26,25,30,0,30,1,0,0,NA,NA,NA
2,none,internal,30,20,1,none,16--23,15--25,1,2,15--25,16--23,30,20,0,30,0.8,0,1,NA,NA,NA
2,none,internal,30,22.5,1,none,7--19,9--21,1,4,9--21,7--19,30,22.5,0,30,0.8,0,1,NA,NA,NA
2,none,internal,30,35,1,none,3--8,12--22,2,6,3--8,12--22,35,30,0,30,0.8,0,1,NA,NA,NA
2,none,internal,30,30,1,none,2--6,17--26,1,8,17--26,2--6,30,30,0,30,0.8,0,1,NA,NA,NA
2,none,internal,30,40,1,none,20--28,4--11,1,10,4--11,20--28,30,40,0,30,0.8,0,1,NA,NA,NA
2,none,internal,30,37.5,1,none,18--27,14--24,2,12,18--27,14--24,37.5,30,0,30,0.8,0,1,NA,NA,NA
2,none,internal,30,25,1,none,1--10,5--13,1,14,5--13,1--10,30,25,0,30,0.8,0,1,NA,NA,NA
2,none,external,30,20,1,none,2--6,17--26,1,1,17--26,2--6,30,20,0,30,0.8,0,1,NA,NA,NA
2,none,external,30,22.5,1,none,3--8,12--22,1,3,12--22,3--8,30,22.5,0,30,0.8,0,1,NA,NA,NA
